doc_id,chars,sp_tokens,custom_tokens,delta_sp_minus_custom
10898,13769,5778,5981,-203
10899,5209,2057,2097,-40
10900,1046,542,557,-15
10901,2766,1062,1094,-32
10902,4509,1992,2039,-47
10903,404,187,193,-6
10904,614,241,244,-3
10905,3593,1493,1551,-58
10906,4420,1625,1689,-64
10907,1684,718,723,-5
10908,3535,1633,1664,-31
10909,1978,700,722,-22
10910,1437,636,663,-27
10911,1079,408,430,-22
10912,3319,1282,1322,-40
10913,369,142,147,-5
10914,2749,1099,1143,-44
10915,2302,1021,1050,-29
10916,280,142,148,-6
10917,2995,1163,1185,-22
10918,7043,2958,3047,-89
10919,3784,1524,1570,-46
10920,4075,1610,1658,-48
10921,5389,1934,2018,-84
10922,5880,2291,2355,-64
10923,6383,2360,2424,-64
10924,3159,1165,1199,-34
10925,1665,748,760,-12
10926,2184,904,965,-61
10927,1037,454,467,-13
10928,552,227,232,-5
10929,453,169,172,-3
10930,492,192,198,-6
10931,1036,468,496,-28
10932,2585,1028,1069,-41
10933,2421,1020,1023,-3
10934,1568,639,651,-12
10935,630,279,296,-17
10936,817,343,355,-12
10937,1360,546,566,-20
10938,710,281,289,-8
10939,12219,5141,5369,-228
10940,4245,2008,2065,-57
10941,1232,520,534,-14
10942,2008,867,891,-24
10943,351,142,149,-7
10944,2826,1156,1169,-13
10945,3195,1271,1321,-50
10946,1766,668,684,-16
10947,8059,4018,4053,-35
10948,1150,504,523,-19
10949,5428,2264,2347,-83
10950,12258,6078,6128,-50
10951,749,349,357,-8
10952,709,287,296,-9
10953,2997,1339,1367,-28
10954,316,161,163,-2
10955,2362,973,979,-6
10956,1104,510,517,-7
10957,2683,1104,1138,-34
10958,5281,2052,2118,-66
10959,2329,945,978,-33
10960,331,138,142,-4
10961,3415,1336,1385,-49
10962,14033,5773,5903,-130
10963,1127,492,506,-14
10964,437,186,200,-14
10965,661,240,248,-8
10966,1107,449,495,-46
10967,454,211,212,-1
10968,3248,1241,1289,-48
10969,968,389,405,-16
10970,3617,1413,1456,-43
10971,5539,2185,2221,-36
10972,563,254,265,-11
10973,2411,983,1026,-43
10974,2607,1031,1056,-25
10975,1713,640,665,-25
10976,3618,1462,1494,-32
10977,2850,1113,1145,-32
10978,801,327,344,-17
10979,1409,566,597,-31
10980,2468,985,1022,-37
10981,271,119,125,-6
10982,5917,2394,2470,-76
10983,1081,407,426,-19
10984,1411,526,533,-7
10985,497,214,224,-10
10986,6721,3087,3132,-45
10987,640,244,256,-12
10988,652,292,300,-8
10989,440,202,208,-6
10990,9842,3961,4006,-45
10991,1388,576,580,-4
10992,52516,23303,23763,-460
10993,601,262,268,-6
10994,5176,2278,2312,-34
10995,4652,1779,1829,-50
10996,356,173,178,-5
10997,1497,596,619,-23
10998,921,389,400,-11
10999,726,364,368,-4
11000,965,360,367,-7
11001,774,281,290,-9
11002,2002,834,870,-36
11003,5309,2071,2140,-69
11004,3793,1451,1490,-39
11005,696,265,270,-5
11006,2241,878,891,-13
11007,1760,714,739,-25
11008,1756,747,763,-16
11009,2237,898,919,-21
11010,3385,1321,1360,-39
11011,13692,5613,5752,-139
11012,686,266,272,-6
11013,2907,1193,1220,-27
11014,1954,785,805,-20
11015,4383,1747,1788,-41
11016,5334,2275,2323,-48
11017,4135,1803,1851,-48
11018,628,241,255,-14
11019,2370,943,961,-18
11020,1881,727,751,-24
11021,612,268,277,-9
11022,2441,1007,1070,-63
11023,6422,2467,2561,-94
11024,858,365,363,2
11025,532,251,256,-5
11026,378,160,166,-6
11027,2330,1101,1133,-32
11028,9861,3918,4022,-104
11029,1720,686,709,-23
11030,1364,540,561,-21
11031,887,349,369,-20
11032,4839,1896,1955,-59
11033,1181,547,553,-6
11034,1417,588,590,-2
11035,1534,652,673,-21
11036,4910,1908,1932,-24
11037,4134,1880,1962,-82
11038,1059,473,473,0
11039,1894,863,857,6
11040,3337,1418,1456,-38
11041,2528,1120,1148,-28
11042,1472,618,636,-18
11043,367,163,170,-7
11044,4887,2113,2233,-120
11045,600,263,271,-8
11046,4357,1618,1653,-35
11047,688,321,344,-23
11048,1809,702,725,-23
11049,39454,17875,18201,-326
11050,1313,558,583,-25
11051,866,393,407,-14
11052,471,205,215,-10
11053,5724,2191,2271,-80
11054,2818,1057,1112,-55
11055,570,279,284,-5
11056,3565,1474,1519,-45
11057,1786,678,699,-21
11058,1937,767,791,-24
11059,3267,1338,1382,-44
11060,784,311,305,6
11061,2766,1112,1143,-31
11062,1537,630,648,-18
11063,4889,1824,1871,-47
11064,481,238,245,-7
11065,4329,1755,1805,-50
11066,863,322,334,-12
11067,3188,1276,1320,-44
11068,402,175,186,-11
11069,4339,1896,1950,-54
11070,1235,501,516,-15
11071,927,337,355,-18
11072,1308,489,496,-7
11073,5289,2163,2183,-20
11074,964,375,386,-11
11075,7946,3209,3271,-62
11076,9811,3751,3856,-105
11077,7615,2899,2943,-44
11078,2065,793,809,-16
11079,3129,1256,1285,-29
11080,777,414,437,-23
11081,3288,1231,1259,-28
11082,742,292,296,-4
11083,2548,1008,1028,-20
11084,665,287,291,-4
11085,6669,2708,2783,-75
11086,1876,696,705,-9
11087,5799,2238,2306,-68
11088,939,400,407,-7
11089,5120,2098,2154,-56
11090,427,214,216,-2
11091,587,223,226,-3
11092,1662,630,657,-27
11093,1856,786,808,-22
11094,638,230,236,-6
11095,4112,1605,1645,-40
11096,2015,946,995,-49
11097,5211,2096,2130,-34
11098,1589,657,675,-18
11099,1849,659,683,-24
11100,1950,851,888,-37
11101,1537,543,580,-37
11102,1631,672,686,-14
11103,3063,1195,1221,-26
11104,2562,956,996,-40
11105,1712,620,639,-19
11106,3663,1502,1535,-33
11107,964,394,402,-8
11108,3499,1307,1352,-45
11109,858,427,427,0
11110,533,196,208,-12
11111,971,417,447,-30
11112,2420,1090,1120,-30
11113,2622,1043,1080,-37
11114,1114,481,493,-12
11115,595,240,259,-19
11116,358,180,187,-7
11117,2241,927,948,-21
11118,795,329,338,-9
11119,491,217,222,-5
11120,1286,525,532,-7
11121,3068,1236,1276,-40
11122,5852,2298,2391,-93
11123,748,260,270,-10
11124,871,354,370,-16
11125,2238,948,972,-24
11126,264,115,126,-11
11127,6198,2483,2528,-45
11128,3868,1612,1666,-54
11129,2849,1157,1211,-54
11130,650,260,258,2
11131,1034,419,426,-7
11132,882,358,369,-11
11133,1395,611,615,-4
11134,1612,650,669,-19
11135,440,176,183,-7
11136,3456,1439,1480,-41
11137,3419,1341,1394,-53
11138,1121,412,431,-19
11139,2972,1220,1253,-33
11140,3547,1400,1458,-58
11141,830,340,354,-14
11142,3497,1294,1350,-56
11143,3846,1574,1634,-60
11144,393,188,186,2
11145,3448,1665,1699,-34
11146,1265,548,574,-26
11147,566,245,254,-9
11148,811,446,462,-16
11149,1777,703,734,-31
11150,2494,1211,1241,-30
11151,985,397,416,-19
11152,472,216,224,-8
11153,515,228,240,-12
11154,351,160,167,-7
11155,7062,3163,3286,-123
11156,4932,1988,2072,-84
11157,1354,518,549,-31
11158,1376,645,650,-5
11159,4303,1806,1831,-25
11160,3782,1520,1549,-29
11161,356,186,196,-10
11162,11046,4365,4601,-236
11163,1769,808,832,-24
11164,2379,829,866,-37
11165,577,276,286,-10
11166,2497,909,925,-16
11167,890,479,492,-13
11168,978,434,454,-20
11169,3136,1304,1364,-60
11170,1121,467,482,-15
11171,894,374,388,-14
11172,2623,1161,1178,-17
11173,550,214,230,-16
11174,628,292,297,-5
11175,4430,1844,1877,-33
11176,4511,1786,1814,-28
11177,15549,7297,7380,-83
11178,560,206,214,-8
11179,1984,808,829,-21
11180,6285,2962,3006,-44
11181,2682,1053,1084,-31
11182,515,231,241,-10
